Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/FCN/2020-04-17_12-37-27PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.677238063,0.636820709,0.69057748,0.674204724,0.734096148,0.749092832,1257,0.01,0.76241725,-1,0.668212084,0.719131235,0.053756771,0.074888108,0.730679596
models/FCN/2020-04-17_10-58-34PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.679292506,0.705194288,0.717159934,0.672427953,0.648976494,0.723471961,939,0.01,0.740188827,0,0.700548909,0.681625469,0.037867428,0.074495467,0.774024956
models/FCN/2020-04-17_11-07-27PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.668578046,0.680626778,0.700712443,0.683717371,0.691425227,0.74866193,1916,0.01,0.755477784,1,0.683305756,0.707934843,0.032134397,0.064944559,0.746631922
models/FCN/2020-04-17_11-17-23PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.67702846,0.676187879,0.73402738,0.677572587,0.662059399,0.729887813,1868,0.01,0.747876627,2,0.695747906,0.689839933,0.057839501,0.067828414,0.766948837
models/FCN/2020-04-17_11-27-40PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.67835725,0.717568555,0.678518914,0.676408322,0.604971528,0.760336636,1999,0.01,0.763465921,3,0.691481573,0.680572162,0.039211305,0.155365108,0.778368006
models/FCN/2020-04-17_11-38-01PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.679045619,0.688916461,0.71186428,0.669027601,0.70067633,0.728259008,1053,0.01,0.742328881,4,0.693275453,0.69932098,0.032818661,0.059231407,0.758698986
models/FCN/2020-04-17_11-48-16PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.673322235,0.66450955,0.718910598,0.68292278,0.667999801,0.722758713,1076,0.01,0.739019812,5,0.685580794,0.691227098,0.054401048,0.054758912,0.75585696
models/FCN/2020-04-17_11-58-30PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.676588009,0.667351396,0.714273827,0.674363567,0.706233124,0.742756632,1845,0.01,0.762617136,6,0.686071077,0.707784441,0.046922431,0.068393065,0.750308458
models/FCN/2020-04-17_12-08-38PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.680438884,0.684928592,0.691433988,0.671193481,0.674502421,0.757830237,1753,0.01,0.762652283,7,0.685600488,0.70117538,0.010995104,0.086636756,0.752974769
models/FCN/2020-04-17_12-18-08PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.69286858,0.694804912,0.71634691,0.656029642,0.664573139,0.729460192,1294,0.01,0.741369884,8,0.701340134,0.683354324,0.02347833,0.07343055,0.773360036
models/FCN/2020-04-17_12-27-48PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.669120924,0.714453523,0.700184286,0.683358023,0.651246155,0.749547366,1497,0.01,0.749547687,9,0.694586244,0.694717181,0.045332599,0.098301211,0.766397953
models/FCN/2020-04-17_12-37-27PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.677238063,0.636820709,0.69057748,0.674204724,0.734096148,0.749092832,1257,0.01,0.76241725,10,0.668212084,0.719131235,0.053756771,0.074888108,0.730679596
models/FCN/2020-04-17_12-47-28PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.690843701,0.672053871,0.693380494,0.659645184,0.677121465,0.745992806,1378,0.01,0.752406353,11,0.685426022,0.694253152,0.021326623,0.086347622,0.755778211
models/FCN/2020-04-17_12-57-46PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.688691562,0.652264052,0.711261865,0.667090353,0.657906014,0.731445443,1230,0.01,0.751072048,12,0.684072493,0.685480603,0.058997813,0.073539429,0.758792736
models/FCN/2020-04-17_13-08-11PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.681830071,0.685788288,0.698913635,0.665254475,0.70706339,0.757678358,1725,0.01,0.760390591,13,0.688843998,0.709998741,0.017083564,0.092423883,0.753286669
models/FCN/2020-04-17_13-18-38PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.690588911,0.668267062,0.69197815,0.658849459,0.691337599,0.746835024,1180,0.01,0.754590179,14,0.683611374,0.699007361,0.023711088,0.087985565,0.752479073
models/FCN/2020-04-17_13-29-02PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.684862128,0.675618891,0.694816691,0.670974171,0.634699628,0.755794551,1999,0.01,0.762773213,15,0.685099237,0.687156117,0.0191978,0.121094923,0.763062773
