Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/FCN/2020-04-17_10-51-17RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.594957456,0.671136931,0.748550878,0.770193296,0.697259686,0.694592218,600,0.0001,0.749826869,0,0.671548422,0.720681733,0.153593422,0.075601078,0.747196386
models/FCN/2020-04-17_10-55-05RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.559654605,0.63128691,0.791064917,0.802940427,0.708322214,0.664326725,789,0.0001,0.745808033,1,0.660668811,0.725196455,0.231410312,0.138613702,0.764699128
models/FCN/2020-04-17_11-00-55RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.61023714,0.643230141,0.810252876,0.758625342,0.697210678,0.652979093,348,0.0001,0.735971226,2,0.687906719,0.702938371,0.200015736,0.105646249,0.782706005
models/FCN/2020-04-17_11-07-31RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.61861634,0.61709082,0.73716731,0.748610784,0.746373814,0.709063058,347,0.0001,0.77065222,3,0.657624823,0.734682552,0.12007649,0.039547726,0.720309755
models/FCN/2020-04-17_11-14-08RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.601317223,0.645656779,0.755098851,0.762821741,0.735588421,0.696438448,587,0.0001,0.757923826,4,0.667357618,0.731616203,0.153781628,0.066383293,0.73854694
models/FCN/2020-04-17_11-20-58RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.6505163,0.66113938,0.670683563,0.715979858,0.714324089,0.769570261,164,0.0001,0.777535764,5,0.660779748,0.733291403,0.020167263,0.055246172,0.714998048
models/FCN/2020-04-17_11-27-37RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.650386807,0.696719357,0.718801564,0.71500668,0.681113059,0.753873443,317,0.0001,0.77121709,6,0.688635909,0.716664394,0.068414757,0.072760384,0.751314271
models/FCN/2020-04-17_11-34-16RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.693227242,0.718554595,0.727090131,0.668102523,0.656326612,0.745331371,165,0.0001,0.750054174,7,0.712957323,0.689920169,0.033862889,0.089004759,0.783279125
models/FCN/2020-04-17_11-40-59RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.565078212,0.60050321,0.749373032,0.794536202,0.776973595,0.712088569,789,0.0001,0.78553538,8,0.638318151,0.761199455,0.18429482,0.082447633,0.710800925
models/FCN/2020-04-17_11-47-51RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.671479572,0.682361331,0.721202927,0.693130703,0.688443231,0.738901843,281,0.0001,0.765474434,9,0.691681277,0.706825259,0.049723355,0.050458612,0.754581275
models/FCN/2020-04-17_11-54-38RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.618759269,0.604272772,0.761339179,0.747223529,0.772425979,0.689738083,367,0.0001,0.744477408,10,0.661457073,0.73646253,0.157066407,0.082687896,0.733815101
models/FCN/2020-04-17_12-01-17RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.659058955,0.670912386,0.690063012,0.706315491,0.704648398,0.775236047,201,0.0001,0.790214395,11,0.673344784,0.728733312,0.031004057,0.070587649,0.730015536
models/FCN/2020-04-17_12-07-37RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.651112349,0.695025354,0.700716184,0.716090855,0.663097539,0.753608252,248,0.0001,0.762819043,12,0.682284629,0.710932215,0.049603835,0.090510713,0.748147865
models/FCN/2020-04-17_12-13-58RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.613933541,0.631829494,0.704474564,0.7515568,0.749204543,0.742211775,339,0.0001,0.781119342,13,0.6500792,0.747657706,0.090541023,0.009345025,0.703252874
models/FCN/2020-04-17_12-20-25RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.674696736,0.649282652,0.697570996,0.691959977,0.701621336,0.76748442,156,0.0001,0.778276034,14,0.673850128,0.720355244,0.048288344,0.075524443,0.735058426
models/FCN/2020-04-17_12-26-49RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.633465301,0.635036387,0.765610861,0.735971005,0.710874297,0.693877143,374,0.0001,0.736755673,15,0.678037516,0.713574148,0.13214556,0.042093862,0.74900533
